iter	Passed	Remaining
955	9400	432
956	9412	422
957	9439	413
958	9456	404
959	9474	394
960	9482	384
961	9492	374
962	9501	365
963	9510	355
964	9519	345
965	9527	335
966	9535	325
967	9542	315
968	9552	305
969	9569	295
970	9583	286
971	9615	277
972	9656	267
973	9669	258
974	9677	248
975	9686	238
976	9693	228
977	9701	218
978	9708	208
979	9716	198
980	9723	188
981	9731	178
982	9740	168
983	9748	158
984	9755	148
985	9762	138
986	9771	128
987	9784	118
988	9796	108
989	9811	99
990	9819	89
991	9829	79
992	9836	69
993	9844	59
994	9851	49
995	9859	39
996	9866	29
997	9874	19
998	9881	9
999	9892	0
